Date,Open,High,Low,Close,Volume,Change %
12/12/1980,0.0991,0.0995,0.0991,0.0991,469033600,0.0
12/15/1980,0.0944,0.0944,0.0939,0.0939,175884800,-0.52966
12/16/1980,0.0874,0.0874,0.087,0.087,105728000,-0.45767
12/17/1980,0.0892,0.0896,0.0892,0.0892,86441600,0.0
12/18/1980,0.0918,0.0922,0.0918,0.0918,73449600,0.0
12/19/1980,0.0974,0.0978,0.0974,0.0974,48630400,0.0
12/22/1980,0.1021,0.1025,0.1021,0.1021,37363200,0.0
12/23/1980,0.1064,0.1068,0.1064,0.1064,46950400,0.0
12/24/1980,0.112,0.1125,0.112,0.112,48003200,0.0
12/26/1980,0.1223,0.1228,0.1223,0.1223,55574400,0.0
12/29/1980,0.1241,0.1245,0.1241,0.1241,93161600,0.0
12/30/1980,0.1215,0.1215,0.121,0.121,68880000,-0.41152
12/31/1980,0.118,0.118,0.1176,0.1176,35750400,-0.33898
01/02/1981,0.1189,0.1198,0.1189,0.1189,21660800,0.0
01/05/1981,0.1167,0.1167,0.1163,0.1163,35728000,-0.34276
01/06/1981,0.1116,0.1116,0.1111,0.1111,45158400,-0.44803
01/07/1981,0.1068,0.1068,0.1064,0.1064,55686400,-0.37453
01/08/1981,0.1047,0.1047,0.1043,0.1043,39827200,-0.38204
01/09/1981,0.1099,0.1103,0.1099,0.1099,21504000,0.0
01/12/1981,0.1099,0.1099,0.109,0.109,23699200,-0.81893
01/13/1981,0.1056,0.1056,0.1051,0.1051,23049600,-0.47348
01/14/1981,0.1056,0.106,0.1056,0.1056,14291200,0.0
01/15/1981,0.1077,0.1086,0.1077,0.1077,14067200,0.0
01/16/1981,0.1073,0.1073,0.1068,0.1068,13395200,-0.46598
01/19/1981,0.1133,0.1137,0.1133,0.1133,41574400,0.0
01/20/1981,0.1103,0.1103,0.1099,0.1099,30083200,-0.36265
01/21/1981,0.112,0.1129,0.112,0.112,15904000,0.0
01/22/1981,0.1133,0.1142,0.1133,0.1133,35548800,0.0
01/23/1981,0.1133,0.1137,0.1129,0.1129,11222400,-0.35305
01/26/1981,0.1116,0.1116,0.1111,0.1111,24640000,-0.44803
01/27/1981,0.1111,0.1111,0.1103,0.1103,23699200,-0.72007
01/28/1981,0.1073,0.1073,0.1068,0.1068,28156800,-0.46598
01/29/1981,0.1034,0.1034,0.1029,0.1029,43904000,-0.48356
01/30/1981,0.0982,0.0982,0.0974,0.0974,46188800,-0.81466
02/02/1981,0.0922,0.0922,0.0918,0.0918,23766400,-0.43384
02/03/1981,0.0952,0.0956,0.0952,0.0952,19152000,0.0
02/04/1981,0.0986,0.0991,0.0986,0.0986,27865600,0.0
02/05/1981,0.0986,0.0995,0.0986,0.0986,7929600,0.0
02/06/1981,0.0991,0.0995,0.0991,0.0991,13865600,0.0
02/09/1981,0.0948,0.0948,0.0939,0.0939,16755200,-0.94937
02/10/1981,0.0939,0.0944,0.0939,0.0939,18345600,0.0
02/11/1981,0.0913,0.0913,0.0909,0.0909,13843200,-0.43812
02/12/1981,0.0905,0.0905,0.0901,0.0901,14560000,-0.44199
02/13/1981,0.0887,0.0887,0.0879,0.0879,11155200,-0.90192
02/17/1981,0.0901,0.0905,0.0901,0.0901,12275200,0.0
02/18/1981,0.0939,0.0948,0.0939,0.0939,19241600,0.0
02/19/1981,0.0887,0.0887,0.0883,0.0883,22310400,-0.45096
02/20/1981,0.084,0.084,0.0836,0.0836,24371200,-0.47619
02/23/1981,0.0848,0.0853,0.0848,0.0848,14112000,0.0
02/24/1981,0.0827,0.0827,0.0819,0.0819,16979200,-0.96735
02/25/1981,0.087,0.0874,0.087,0.087,19488000,0.0
02/26/1981,0.0883,0.0887,0.0883,0.0883,10841600,0.0
02/27/1981,0.0913,0.0922,0.0913,0.0913,14761600,0.0
03/02/1981,0.0918,0.0922,0.0918,0.0918,11760000,0.0
03/03/1981,0.0909,0.0909,0.0905,0.0905,16172800,-0.44004
03/04/1981,0.0901,0.0901,0.0896,0.0896,13708800,-0.55494
03/05/1981,0.0896,0.0896,0.0892,0.0892,5376000,-0.44643
03/06/1981,0.0892,0.0892,0.0883,0.0883,11603200,-1.00897
03/09/1981,0.0819,0.0819,0.0814,0.0814,15321600,-0.6105
03/10/1981,0.078,0.078,0.0775,0.0775,28380800,-0.64103
03/11/1981,0.0754,0.0754,0.0745,0.0745,29859200,-1.19363
03/12/1981,0.0775,0.078,0.0775,0.0775,59248000,0.0
03/13/1981,0.0771,0.0771,0.0767,0.0767,231302400,-0.51881
03/16/1981,0.0797,0.0805,0.0797,0.0797,37228800,0.0
03/17/1981,0.0836,0.0844,0.0836,0.0836,43747200,0.0
03/18/1981,0.0887,0.0896,0.0887,0.0887,36937600,0.0
03/19/1981,0.0883,0.0883,0.0879,0.0879,37811200,-0.453
03/20/1981,0.0887,0.0896,0.0887,0.0887,14604800,0.0
03/23/1981,0.0922,0.0931,0.0922,0.0922,22019200,0.0
03/24/1981,0.0922,0.0922,0.0918,0.0918,28156800,-0.43384
03/25/1981,0.0909,0.0909,0.0901,0.0901,7056000,-0.88009
03/26/1981,0.0887,0.0887,0.0883,0.0883,12275200,-0.45096
03/27/1981,0.0857,0.0857,0.0853,0.0853,12252800,-0.46674
03/30/1981,0.0853,0.0862,0.0853,0.0853,9900800,0.0
03/31/1981,0.0853,0.0853,0.0844,0.0844,15993600,-1.0551
04/01/1981,0.084,0.084,0.0836,0.0836,34070400,-0.47619
04/02/1981,0.0909,0.0913,0.0909,0.0909,31404800,0.0
04/03/1981,0.0913,0.0918,0.0913,0.0913,16486400,0.0
04/06/1981,0.0901,0.0901,0.0896,0.0896,22803200,-0.55494
04/07/1981,0.0892,0.0892,0.0887,0.0887,10684800,-0.56054
04/08/1981,0.0931,0.0939,0.0931,0.0931,21952000,0.0
04/09/1981,0.0948,0.0952,0.0948,0.0948,12499200,0.0
04/10/1981,0.0961,0.0965,0.0961,0.0961,33465600,0.0
04/13/1981,0.0961,0.0965,0.0961,0.0961,16060800,0.0
04/14/1981,0.0961,0.0965,0.0961,0.0961,6652800,0.0
04/15/1981,0.0918,0.0918,0.0913,0.0913,34048000,-0.54466
04/16/1981,0.0866,0.0866,0.0862,0.0862,23878400,-0.46189
04/20/1981,0.0887,0.0892,0.0887,0.0887,35347200,0.0
04/21/1981,0.0948,0.0952,0.0948,0.0948,28537600,0.0
04/22/1981,0.0982,0.0986,0.0982,0.0982,18995200,0.0
04/23/1981,0.1008,0.1012,0.1008,0.1008,58016000,0.0
04/24/1981,0.1008,0.1008,0.0999,0.0999,35056000,-0.89286
04/27/1981,0.0995,0.0995,0.0991,0.0991,38528000,-0.40201
04/28/1981,0.0978,0.0978,0.0974,0.0974,32188800,-0.409
04/29/1981,0.0965,0.0965,0.0961,0.0961,13641600,-0.41451
04/30/1981,0.0978,0.0986,0.0978,0.0978,12611200,0.0
05/01/1981,0.0978,0.0986,0.0978,0.0978,16553600,0.0
05/04/1981,0.0978,0.0978,0.0974,0.0974,14448000,-0.409
05/05/1981,0.0974,0.0974,0.0969,0.0969,17539200,-0.51335
05/06/1981,0.0948,0.0948,0.0944,0.0944,18950400,-0.42194
05/07/1981,0.0956,0.0961,0.0956,0.0956,9363200,0.0
05/08/1981,0.0965,0.0969,0.0965,0.0965,7907200,0.0
05/11/1981,0.0948,0.0948,0.0944,0.0944,11939200,-0.42194
