Date,Open,High,Low,Close,Volume,Change %
05/09/1996,23.6,24.0,23.1,23.2,29000000,
05/10/1996,24.0,24.2,23.6,24.0,53000000,1.69492
05/13/1996,24.0,24.1,23.3,23.9,34999999,0.0
05/14/1996,24.0,24.1,23.1,23.6,15500000,0.0
05/15/1996,23.6,23.7,23.0,23.2,27250000,-1.66667
05/16/1996,23.1,23.1,22.3,22.6,18000000,-2.11864
05/17/1996,22.6,23.0,22.6,22.8,16250000,-2.1645
05/20/1996,22.9,23.0,22.4,22.5,12000000,1.32743
05/21/1996,22.7,22.8,22.3,22.6,11750000,-0.87336
05/22/1996,22.7,22.7,21.8,22.0,12500000,0.0
05/23/1996,22.0,22.2,21.7,22.1,10250000,-3.0837
05/24/1996,22.1,22.1,21.4,21.6,7750000,0.45455
05/28/1996,21.9,22.1,21.2,21.2,10250000,-0.90498
05/29/1996,21.0,21.3,20.7,20.8,5250000,-4.10959
05/30/1996,20.7,20.8,20.0,20.5,16000000,-1.42857
05/31/1996,20.2,20.4,19.8,20.4,11500000,-2.41546
06/03/1996,20.4,20.5,20.0,20.1,4000000,0.9901
06/04/1996,20.1,21.4,20.1,21.4,5750000,-1.47059
06/05/1996,21.4,22.0,21.3,21.86,8250000,6.46766
06/06/1996,21.86,22.0,21.7,21.7,4500000,2.14953
06/07/1996,21.5,21.8,21.2,21.6,4250000,-1.64684
06/10/1996,21.7,21.9,21.1,21.2,4000000,0.93023
06/11/1996,21.2,21.7,21.2,21.4,3250000,-2.30415
06/12/1996,21.6,22.0,21.4,22.0,5500000,1.88679
06/13/1996,22.0,22.2,21.9,22.06,3250000,1.85185
06/14/1996,22.2,22.2,21.7,22.0,2000000,0.90909
06/17/1996,22.0,22.06,21.7,21.82,2000000,-0.9009
06/18/1996,21.86,21.86,21.5,21.66,2250000,-0.63636
06/19/1996,21.6,21.7,21.24,21.3,2000000,-1.18939
06/20/1996,21.4,21.46,20.5,20.7,2750000,-0.92593
06/21/1996,20.5,20.7,20.48,20.7,3500000,-4.20561
06/24/1996,20.66,20.8,20.5,20.6,3750000,0.78049
06/25/1996,20.6,20.7,20.1,20.4,6000000,-0.29042
06/26/1996,20.52,20.6,20.3,20.4,3000000,-0.38835
06/27/1996,20.3,20.36,20.06,20.2,4250000,-1.07212
06/28/1996,20.1,20.66,20.1,20.66,5250000,-0.98522
07/01/1996,20.66,21.5,20.6,21.5,6750000,2.78607
07/02/1996,21.66,21.8,21.46,21.7,4000000,4.84027
07/03/1996,21.76,21.76,21.1,21.3,2000000,0.46168
07/05/1996,21.0,21.1,20.6,20.7,4000000,-3.49265
07/08/1996,20.8,21.5,20.6,20.96,4000000,-0.95238
07/09/1996,21.0,21.4,20.66,21.2,8500000,0.96154
07/10/1996,21.3,21.36,20.7,20.98,3500000,1.42857
07/11/1996,21.06,21.06,20.6,20.8,6000000,-1.12676
07/12/1996,20.6,21.06,20.6,20.84,4500000,-2.18424
07/15/1996,20.8,20.9,20.44,20.66,5250000,0.97087
07/16/1996,20.5,21.1,20.1,20.7,7250000,-1.44231
07/17/1996,20.86,21.3,20.64,21.1,6500000,1.7561
07/18/1996,21.0,21.3,21.0,21.2,2500000,0.67114
07/19/1996,21.2,21.36,21.0,21.1,3000000,0.95238
07/22/1996,21.0,21.1,20.84,20.84,2750000,-0.9434
