Date,Open,High,Low,Close,Volume,Change %
10/29/2013,23.0697,23.0697,22.8138,22.9243,45278.946677757,
10/30/2013,23.0597,23.0597,22.7709,22.8138,36968.883322496,-0.04335
10/31/2013,22.7709,23.216,22.7331,22.8615,15832.614360645,-1.2524
11/01/2013,22.9143,22.9143,22.7003,22.8059,21564.177458085,0.62975
11/04/2013,22.8985,22.8985,22.7799,22.8715,46462.224162648,-0.06895
11/05/2013,22.8517,22.9333,22.7709,22.8915,32507.987473263,-0.20438
11/06/2013,22.9761,23.0597,22.9482,23.0417,101314.8700836,0.54438
11/07/2013,23.1075,23.1254,22.7331,22.7421,50482.153275153,0.5719
11/08/2013,22.8715,22.9761,22.7621,22.9761,13826.667724545,-1.02131
11/11/2013,22.9403,23.0417,22.9043,23.0139,68323.727712012,0.30081
11/12/2013,22.994,23.1353,22.9581,23.0975,22477.249812724,0.23409
11/13/2013,23.0417,23.3285,23.0219,23.3285,20069.511161382,0.20745
11/14/2013,23.2767,23.2767,23.1543,23.2598,24314.443802423,1.01989
11/15/2013,23.2677,23.3484,23.2519,23.3484,26017.037467015,-0.03867
11/18/2013,23.4141,23.4141,23.1254,23.1353,54453.867345829,0.6292
11/19/2013,23.2091,23.2091,23.0319,23.0319,25896.499862442,-0.87554
11/20/2013,23.1165,23.1811,22.9671,23.0139,28048.096104067,-0.39898
11/21/2013,23.0786,23.2339,23.0786,23.2339,41930.010230708,-0.16395
11/22/2013,23.2857,23.2857,23.1811,23.2011,27085.80422756,0.89737
11/25/2013,23.2519,23.2519,23.1075,23.1633,41739.159023468,-0.14515
11/26/2013,23.1911,23.3484,23.1722,23.2937,36998.013243602,-0.26148
11/27/2013,23.3863,23.4977,23.3484,23.4977,31557.749357213,0.8417
11/29/2013,23.5784,23.658,23.5694,23.5784,44475.362647272,0.82142
12/02/2013,23.6301,23.6481,23.4609,23.4699,40514.697857015,0.21927
12/03/2013,23.4609,23.5615,23.433,23.5147,40819.055308562,-0.71604
12/04/2013,23.5067,23.6391,23.442,23.5863,63020.073110806,0.19522
12/05/2013,23.7058,23.7058,23.5525,23.5863,27103.884868246,0.84699
12/06/2013,23.7496,23.7775,23.658,23.7317,51996.909172618,0.18476
12/09/2013,23.8581,23.8581,23.7675,23.7964,106755.13397,0.45685
12/10/2013,23.7964,23.8143,23.7227,23.7864,77763.831110144,-0.25861
12/11/2013,23.8412,23.8412,23.4977,23.5147,110980.98149031,0.18826
12/12/2013,23.5694,23.5694,23.4051,23.4051,62057.7812343,-1.14004
