Date,Open,High,Low,Close,Volume,Change %
03/12/1986,0.0515,0.0521,0.0515,0.0515,392979600,
03/13/1986,0.0527,0.0533,0.0527,0.0527,125290800,2.3301
03/14/1986,0.0546,0.0552,0.0546,0.0546,57866400,3.60531
03/17/1986,0.054,0.054,0.0533,0.0533,28285200,-1.0989
03/18/1986,0.0527,0.0527,0.0521,0.0521,32335200,-2.40741
03/19/1986,0.0521,0.0521,0.0508,0.0508,22712400,-1.13852
03/20/1986,0.0508,0.0515,0.0508,0.0508,17787600,-2.4952
03/21/1986,0.0502,0.0502,0.0489,0.0489,16232400,-1.1811
03/24/1986,0.0489,0.0496,0.0489,0.0489,20736000,-2.58964
03/25/1986,0.0489,0.0496,0.0489,0.0489,21675600,0.0
03/26/1986,0.0496,0.0508,0.0496,0.0496,23328000,1.43149
03/27/1986,0.0515,0.0527,0.0515,0.0515,21513600,3.83065
03/31/1986,0.0521,0.0527,0.0521,0.0521,9882000,1.16505
04/01/1986,0.0502,0.0502,0.0496,0.0496,20314800,-3.64683
04/02/1986,0.0496,0.0502,0.0489,0.0489,12960000,-1.19522
04/03/1986,0.0508,0.0521,0.0508,0.0508,11955600,2.41935
04/04/1986,0.0508,0.0515,0.0502,0.0502,10659600,0.0
04/07/1986,0.0508,0.0515,0.0508,0.0508,9007200,0.0
04/08/1986,0.0508,0.0521,0.0508,0.0508,15001200,0.0
04/09/1986,0.0508,0.0515,0.0508,0.0508,8942400,0.0
04/10/1986,0.0508,0.0515,0.0508,0.0508,9428400,0.0
04/11/1986,0.0521,0.0527,0.0521,0.0521,18273600,2.55906
04/14/1986,0.0521,0.0527,0.0521,0.0521,46785600,0.0
04/15/1986,0.0521,0.0527,0.0521,0.0527,12020400,0.0
04/16/1986,0.0527,0.0552,0.0521,0.0552,22550400,1.15163
04/17/1986,0.0552,0.0602,0.0552,0.0602,19699200,4.74383
04/18/1986,0.0602,0.0665,0.0602,0.0653,27799200,9.05797
04/21/1986,0.0653,0.0725,0.0646,0.0715,33534000,8.47176
04/22/1986,0.0715,0.0715,0.0671,0.0678,38264400,9.49464
04/23/1986,0.0678,0.0678,0.0659,0.0659,4114800,-5.17483
04/24/1986,0.0659,0.0671,0.0659,0.0671,10789200,-2.80236
04/25/1986,0.0671,0.0684,0.0671,0.0684,4633200,1.82094
04/28/1986,0.0684,0.0703,0.0684,0.069,46008000,1.93741
04/29/1986,0.069,0.0697,0.0678,0.0684,2786400,0.87719
04/30/1986,0.0671,0.0671,0.0628,0.0628,9720000,-2.75362
05/01/1986,0.0628,0.0646,0.0628,0.064,21546000,-6.40835
05/02/1986,0.064,0.0646,0.0602,0.0602,10627200,1.91083
05/05/1986,0.0602,0.0615,0.0602,0.0615,4924800,-5.9375
05/06/1986,0.0615,0.0634,0.0602,0.0634,7257600,2.15947
05/07/1986,0.0634,0.0646,0.0634,0.0646,11826000,3.08943
05/08/1986,0.0646,0.0665,0.064,0.0653,21254400,1.89274
05/09/1986,0.0653,0.0665,0.0653,0.0665,7581600,1.08359
05/12/1986,0.0665,0.0665,0.0653,0.0659,11404800,1.83767
05/13/1986,0.0659,0.0678,0.0653,0.0678,35510400,-0.90226
05/14/1986,0.0678,0.0678,0.0659,0.0659,2559600,2.88316
05/15/1986,0.0659,0.0671,0.0659,0.0671,939600,-2.80236
05/16/1986,0.0671,0.0678,0.0665,0.0678,3985200,1.82094
05/19/1986,0.0678,0.0678,0.064,0.064,8974800,1.04322
05/20/1986,0.064,0.0653,0.064,0.064,4438800,-5.60472
05/21/1986,0.064,0.0646,0.064,0.0646,874800,0.0
05/22/1986,0.0646,0.0646,0.0621,0.0628,11599200,0.9375
05/23/1986,0.0628,0.0634,0.0615,0.0615,4600800,-2.78638
05/27/1986,0.0615,0.0628,0.0609,0.0621,2430000,-2.07006
05/28/1986,0.0621,0.0621,0.0609,0.0621,1198800,0.97561
05/29/1986,0.0609,0.0609,0.0596,0.0596,5086800,-1.93237
05/30/1986,0.0596,0.0609,0.0584,0.059,20574000,-2.13465
06/02/1986,0.059,0.059,0.0558,0.0571,8845200,-1.00671
06/03/1986,0.0571,0.0587,0.0527,0.0587,62175600,-3.22034
06/04/1986,0.0587,0.059,0.0577,0.059,22582800,2.8021
06/05/1986,0.059,0.0653,0.0577,0.0628,28447200,0.51107
06/06/1986,0.0628,0.064,0.0628,0.0628,4341600,6.44068
06/09/1986,0.0628,0.0634,0.0602,0.0621,6091200,0.0
06/10/1986,0.0621,0.0621,0.0596,0.0609,17917200,-1.11465
06/11/1986,0.0609,0.0628,0.0609,0.0628,10432800,-1.93237
06/12/1986,0.0628,0.0631,0.0621,0.0621,12700800,3.11987
06/13/1986,0.0621,0.064,0.0621,0.0628,19213200,-1.11465
06/16/1986,0.0628,0.0634,0.0621,0.0621,5378400,1.12721
06/17/1986,0.0621,0.0631,0.0609,0.0615,18500400,-1.11465
06/18/1986,0.0615,0.0621,0.0609,0.0609,8164800,-0.96618
06/19/1986,0.0609,0.0621,0.0609,0.0618,5670000,-0.97561
06/20/1986,0.0618,0.0621,0.0606,0.0609,21384000,1.47783
06/23/1986,0.0609,0.0621,0.0602,0.0621,18079200,-1.45631
06/24/1986,0.0621,0.0621,0.0602,0.0621,10659600,1.97044
06/25/1986,0.0621,0.0621,0.0615,0.0615,550800,0.0
06/26/1986,0.0615,0.0628,0.0602,0.0621,5670000,-0.96618
06/27/1986,0.0621,0.0621,0.0609,0.0609,13867200,0.97561
06/30/1986,0.0609,0.0621,0.0609,0.0612,7549200,-1.93237
07/01/1986,0.0612,0.0621,0.0609,0.0621,2721600,0.49261
07/02/1986,0.0621,0.0621,0.0609,0.0609,972000,1.47059
