Date,Value
03/07/2025,1.30
02/28/2025,1.24
01/31/2025,1.25
12/31/2024,1.24
11/30/2024,1.25
10/31/2024,1.28
09/30/2024,1.31
08/31/2024,1.33
07/31/2024,1.31
06/30/2024,1.33
05/31/2024,1.37
04/30/2024,1.39
03/31/2024,1.37
02/29/2024,1.41
01/31/2024,1.47
12/31/2023,1.50
11/30/2023,1.57
10/31/2023,1.64
09/30/2023,1.57
08/31/2023,1.56
07/31/2023,1.53
06/30/2023,1.58
05/31/2023,1.65
04/30/2023,1.66
03/31/2023,1.72
02/28/2023,1.66
01/31/2023,1.70
12/31/2022,1.71
11/30/2022,1.69
10/31/2022,1.77
09/30/2022,1.70
08/31/2022,1.56
07/31/2022,1.65
06/30/2022,1.64
05/31/2022,1.57
04/30/2022,1.43
03/31/2022,1.41
02/28/2022,1.39
01/31/2022,1.33
12/31/2021,1.29
11/30/2021,1.29
10/31/2021,1.34
09/30/2021,1.33
08/31/2021,1.32
07/31/2021,1.34
06/30/2021,1.37
05/31/2021,1.39
04/30/2021,1.39
03/31/2021,1.47
02/28/2021,1.49
01/31/2021,1.53
12/31/2020,1.58
11/30/2020,1.65
10/31/2020,1.72
09/30/2020,1.75
08/31/2020,1.74
07/31/2020,1.85
06/30/2020,1.92
05/31/2020,2.04
04/30/2020,2.16
03/31/2020,2.25
02/29/2020,1.80
01/31/2020,1.79
12/31/2019,1.83
11/30/2019,1.86
10/31/2019,1.93
09/30/2019,1.92
08/31/2019,1.96
07/31/2019,1.88
06/30/2019,1.94
05/31/2019,1.95
04/30/2019,1.90
03/31/2019,1.96
02/28/2019,1.98
01/31/2019,2.08
12/31/2018,2.09
11/30/2018,1.96
10/31/2018,1.90
09/30/2018,1.80
08/31/2018,1.82
07/31/2018,1.84
06/30/2018,1.85
05/31/2018,1.88
04/30/2018,1.90
03/31/2018,1.85
02/28/2018,1.84
01/31/2018,1.77
12/31/2017,1.84
11/30/2017,1.88
10/31/2017,1.89
09/30/2017,1.93
08/31/2017,1.95
07/31/2017,1.94
06/30/2017,1.94
05/31/2017,1.96
04/30/2017,1.98
03/31/2017,1.96
02/28/2017,1.98
01/31/2017,2.02
12/31/2016,2.03
11/30/2016,2.10
10/31/2016,2.11
09/30/2016,2.09
08/31/2016,2.07
07/31/2016,2.08
06/30/2016,2.13
05/31/2016,2.14
04/30/2016,2.12
03/31/2016,2.17
02/29/2016,2.30
01/31/2016,2.27
12/31/2015,2.11
11/30/2015,2.07
10/31/2015,2.11
09/30/2015,2.19
08/31/2015,2.07
07/31/2015,2.01
06/30/2015,1.99
05/31/2015,1.96
04/30/2015,1.96
03/31/2015,1.96
02/28/2015,1.94
01/31/2015,1.97
12/31/2014,1.92
11/30/2014,1.91
10/31/2014,2.00
09/30/2014,1.93
08/31/2014,1.94
07/31/2014,1.91
06/30/2014,1.92
05/31/2014,1.96
04/30/2014,1.96
03/31/2014,1.94
02/28/2014,1.97
01/31/2014,1.94
12/31/2013,1.94
11/30/2013,1.95
10/31/2013,2.01
09/30/2013,2.04
08/31/2013,2.04
07/31/2013,2.02
06/30/2013,2.06
05/31/2013,2.01
04/30/2013,2.07
